chr	start	end	value1	
chr1	1177697	10831862	0.3473281041
chr1	12206674	15103090	-0.0005307972
chr1	19766964	26182937	-0.0102073477
chr1	27723143	30865944	1.3663194057
chr1	35537218	36853460	-0.3007803041
chr1	36858873	39547278	-0.3666729051
chr1	40107698	40355278	0.1879930747
chr1	40411007	41843070	-0.2571194396
chr1	47330919	49732217	-0.2080332702
chr1	52700471	54407678	0.5937361251
chr1	61258412	68784429	-0.0158917431
chr1	71524437	76762387	-0.1314683133
chr1	78910854	80760335	-0.0573196974
chr1	85039970	88021232	-0.4817965468
chr1	88096305	96256750	-0.2065535153
chr1	100968962	101058401	-0.2255151604
chr1	101688351	101799397	0.1023185464
chr1	105605369	109132323	-0.1316026480
chr1	111009959	112095097	-0.0958471669
chr1	118073004	120661478	-0.7544016503
chr1	123227086	123695610	0.1121406141
chr1	124461482	127459958	0.1715693925
chr1	133008211	133380486	-0.2467954911
chr1	134221288	135679318	0.6053598441
chr1	136616353	140421375	0.0793738936
chr1	151511265	151998733	0.0539045203
chr1	156134968	158029087	-0.7551080816
chr1	160097799	162052083	0.5156002040
chr1	172257307	174412928	0.6791582463
chr1	174814061	177466983	0.0684174029
chr1	178183930	179226585	0.0334838615
chr1	182022238	189898120	-0.2918743663
chr1	206643931	216675140	0.2682353086
chr1	218084143	218425425	-0.4078226197
chr1	218469965	219496635	-0.4238090416
chr1	221780659	222487003	-0.4513128011
chr1	222658844	225427356	-0.7893789306
chr1	226247703	227226705	-0.9148385873
chr1	229591266	234568457	-0.3366151912
chr1	237071804	246227595	-1.0723767926
chr1	246682519	249214245	0.4142040659
chr2	2294267	9645669	-0.7818062458
chr2	12130940	14457213	0.4717991751
chr2	20392005	21907207	0.2700035096
chr2	25183207	26106759	-0.2580545776
chr2	27631952	28536425	0.2594458304
chr2	30450355	33432133	-0.2031401947
chr2	40487183	43510957	-0.6279385886
chr2	47480454	49000939	-1.0265451990
chr2	51741977	60125856	-0.1872018417
chr2	64391178	65954429	-0.1723164483
chr2	67018506	69731832	0.7640238387
chr2	71231854	71895534	-0.0761687531
chr2	74520209	78454748	0.0453152191
chr2	80345660	93657497	0.2669430941
chr2	100587061	109496251	0.0874807666
chr2	110981537	116477812	0.1550800192
chr2	122964953	126292683	0.2580959518
chr2	128952336	134728986	0.0862975993
chr2	134870335	136796092	0.8721817619
chr2	139559317	142125988	-0.3424208704
chr2	149241797	151207257	-0.3295002781
chr2	151936058	153789186	0.1684171602
chr2	154232156	154448167	-0.8995098715
chr2	155578927	157521980	-0.4378858646
chr2	157659353	162181914	-0.2206573118
chr2	166937194	167420476	-0.1288393345
chr2	168628825	168778609	0.0638843350
chr2	170330564	170580203	0.9273043333
chr2	173353939	177106201	0.3400487981
chr2	180998475	182119498	-0.3535299284
chr2	183081913	185046976	0.5571986932
chr2	194235923	196200717	0.1740429586
chr2	196743266	207630177	0.1553015180
chr2	210452725	210458054	-0.7672106451
chr2	213627796	219237567	-0.1961504692
chr2	221500823	221794961	-0.8227258759
chr2	226474443	226633605	0.1533060735
chr2	227587547	228198277	0.2401076417
chr2	228365612	229657149	-0.0683805466
chr2	236484225	236796160	-0.3397187645
chr3	3339539	3498676	-0.0726183673
chr3	13204165	19140429	0.9543176120
chr3	21080071	23395341	-0.4195290293
chr3	25967228	28459730	1.0317632384
chr3	32550628	33858508	0.0626677344
chr3	40023842	41834852	-0.8293159376
chr3	44845475	46410295	0.4279833836
chr3	46953650	47580911	-0.6963594175
chr3	59553716	64286174	0.0006005728
chr3	65374706	65962714	-0.0136113834
chr3	72755675	73192874	1.0557918716
chr3	73888594	78578482	-0.0099383407
chr3	81544714	94867261	-0.3521046713
chr3	100626963	109469162	-0.0334636495
chr3	110486997	112870175	-0.7378473764
chr3	113515352	115843355	-0.2709147878
chr3	119706166	120575833	-0.6873282392
chr3	124215447	127332647	-0.1693960836
chr3	128283095	128772565	0.2952427220
chr3	130981619	132417063	-0.4573164301
chr3	134608690	144137189	-0.2384825550
chr3	145595001	146854977	0.0738165347
chr3	151543019	157093260	0.6436963374
chr3	160323398	161991767	0.0520266898
chr3	162393198	169018486	0.1580087368
chr3	171985137	175244999	-0.3036882305
chr3	179140154	182448333	-0.1215971868
chr3	185983430	187515730	-0.2094063493
chr3	188568302	189390948	0.5451424545
chr3	190299691	192176349	-0.0464223088
chr3	195680542	196039203	-0.0284228595
chr3	196396509	196567213	0.2222192974
chr4	1425355	2207341	0.0189440132
chr4	5418425	5470128	0.4937357369
chr4	6615368	6808256	-0.0495596471
chr4	8099718	11016313	-0.3342961427
chr4	14777724	15941375	-0.3350224062
chr4	28581154	30370798	-0.2212578662
chr4	35766727	41631524	0.0546516819
chr4	42931115	43142343	-0.1308433224
chr4	44109403	45724395	-0.7931515138
chr4	47727174	56569761	0.8493491275
chr4	58029857	65060885	-0.5677131252
chr4	66374898	67260967	-0.2210412321
chr4	73765014	83254056	-0.3012889159
chr4	85381282	90556162	-0.4701767177
chr4	91198495	98754309	0.6711851498
chr4	99152200	101076480	0.2351996242
chr4	101401879	101694524	0.1856482596
chr4	105836221	106837815	0.4789419162
chr4	107477722	108719426	-0.4238520734
chr4	109231270	111712877	0.3350780762
chr4	117107274	122545274	-0.2655615780
chr4	125392808	127446996	-0.2097633875
chr4	131734975	132722954	0.2887349604
chr4	133346882	136857293	0.1719204180
chr4	138420009	146793817	-0.2235445325
chr4	158481441	159902822	-0.0392936446
chr4	162499699	164224335	0.8520911748
chr4	165191867	169237125	-1.0598294767
chr4	172883729	173903865	0.6536358408
chr4	177382118	180350391	0.4580899880
chr4	180884148	185350641	-0.0363282575
chr5	1557399	5461302	-0.3046556151
chr5	6907462	9282057	-0.0221240116
chr5	11418910	13697736	-0.3826756146
chr5	15908517	18779595	-0.5238145944
chr5	19847118	21114649	1.3508490253
chr5	22258842	25409215	0.7283395596
chr5	25411210	28559583	0.0979637220
chr5	29173626	34453947	-0.2474441957
chr5	36761344	55062254	0.2085575704
chr5	57670450	59229423	-0.2724959279
chr5	60144853	64269313	-0.2714200021
chr5	69591096	72363443	0.1282721516
chr5	78387551	81273023	0.1406132242
chr5	87504747	96592389	-0.1498352075
chr5	99203095	99744380	0.3991911443
chr5	102670634	110991979	-0.3684131332
chr5	112979173	117251565	-1.1203601074
chr5	120974232	122084050	-0.0872125452
chr5	124100734	126072468	1.3271384064
chr5	127054447	127317383	-0.3872963684
chr5	127550315	128382274	0.3092617183
chr5	136656482	137318820	0.4672191396
chr5	140460921	141402247	0.3958992658
chr5	150223405	151695789	0.0969889852
chr5	153242917	157402139	-0.7320468116
chr5	162821607	166338174	-0.2437989370
chr5	170814156	171627970	0.6855300670
chr5	177070064	177725843	0.5287809435
chr5	178240575	180262375	0.2844077240
chr6	2978875	17672111	-0.0512006741
chr6	18834594	19123919	-1.5977026208
chr6	26587577	28275116	-0.3663647373
chr6	30945257	31787429	0.4087607187
chr6	40095582	45308755	-0.5682276865
chr6	45668880	55963330	0.4381298378
chr6	56175231	63090611	-0.3208449056
chr6	64398491	67589165	-0.7570414437
chr6	68396636	70744056	-0.4527583603
chr6	71199193	72240999	0.5224090214
chr6	74826278	79153253	-0.7701154228
chr6	81593701	83085102	0.2045017575
chr6	84148939	95266103	0.2731758053
chr6	97119935	98835835	0.7643577677
chr6	105680448	106435134	0.2829521253
chr6	107188513	112047507	-0.2998394013
chr6	113524359	114358173	-0.6218662901
chr6	115546724	122162944	0.4679882172
chr6	123202626	125479234	0.5484785013
chr6	127751933	129675736	0.1230342246
chr6	131503094	131894380	-0.2058766561
chr6	132447245	132827584	-0.4026432597
chr6	135906724	141429675	-0.2466741878
chr6	143857436	145494238	0.3759972658
chr6	146227544	150574981	0.4059850717
chr6	153644825	154918111	-0.2069251504
chr6	155667266	164138918	-0.1702695078
chr6	166842824	169509685	-0.2878241507
chr7	7988471	9500593	0.2302648853
chr7	17992169	18571166	0.5008193622
chr7	21964409	22341413	0.2983531744
chr7	27194657	32755196	-0.1466622745
chr7	32964841	35385849	-0.6150193165
chr7	35891187	40850683	0.0788391925
chr7	41929955	42371203	0.6187329985
chr7	43751063	45223927	-0.4303040358
chr7	46545550	48165262	0.0467597885
chr7	55120490	56506295	0.5073081041
chr7	57166736	62681989	0.3038996632
chr7	77360060	85728941	-0.0057004792
chr7	90934888	97886699	0.6060011389
chr7	97888134	98348273	0.7659213623
chr7	102018902	102984096	0.6892479130
chr7	105204548	107760425	0.1399168551
chr7	109368051	110696603	-0.0735440202
chr7	112677407	114391876	-0.1422250388
chr7	115975931	116457188	-0.5489917715
chr7	118380026	123937642	1.0905331783
chr7	126455993	131561270	0.5829553174
chr7	134053919	139007868	-0.8546769576
chr7	151391578	153413227	-0.0692191069
chr7	155343207	156415552	0.3895021844
chr7	157297954	157761255	-0.2670901333
chr7	158081856	158842712	-0.1422406357
chr8	1780006	3640494	-0.2529874428
chr8	5369237	7034411	-0.0644158894
chr8	18611294	21008209	-0.6086975545
chr8	22233616	22994162	-0.0611008622
chr8	27635058	27651777	-0.5100414233
chr8	29613034	30722610	0.5361991893
chr8	36919873	37359688	-0.0608129770
chr8	42014718	43480103	0.4288319958
chr8	44858218	45603810	-0.4085827420
chr8	48890574	51753204	-0.4832684909
chr8	54129169	56188930	-0.0603210604
chr8	62209648	63384338	0.7501439565
chr8	63658875	66897977	-0.0377730002
chr8	69787054	72060130	-0.3764369971
chr8	73952331	76920292	0.2966904382
chr8	77237779	84625780	-0.2067327365
chr8	89793088	89835662	0.6812635363
chr8	90667038	97375769	-0.1182773758
chr8	97511830	99394554	0.4883654131
chr8	109726165	112922995	-0.3517463872
chr8	113007711	113249676	-0.6145544442
chr8	114823702	125675588	-0.2305330840
chr8	127204316	133618848	0.7958487468
chr8	135069806	143456811	0.3034554029
chr9	16873196	18958915	-0.4270456106
chr9	20690563	21439422	0.0039174930
chr9	22634443	26650185	0.0022288094
chr9	27860859	29031565	-0.0090984753
chr9	31219787	32289843	-0.0482881899
chr9	35376928	39414338	-0.8441755633
chr9	41857329	44279968	0.1252890553
chr9	46172086	47324365	0.9556400393
chr9	48694737	51940562	0.1759589193
chr9	52738174	54638217	-0.5102471343
chr9	55191499	58826570	1.1745004556
chr9	65962339	66475120	0.1770197081
chr9	70362585	79203926	-0.2320803276
chr9	84927591	86083743	0.0248893638
chr9	87287744	87677905	0.1487210605
chr9	95773214	95835160	0.4086958848
chr9	100397792	102571849	-0.3469903264
chr9	102897509	103888686	0.4986312627
chr9	104614401	104845619	-0.3096177209
chr9	106234102	106499862	-0.2470346835
chr9	108538975	112354026	0.8108075169
chr9	118358497	128959284	-0.0160187207
chr9	135494425	137490732	-0.1768745009
chr10	1132000	2975348	-0.2485770472
chr10	4549483	9843244	0.1181847787
chr10	12485468	17601596	0.5098065711
chr10	18348711	21494270	0.0135282809
chr10	24093691	25926101	-0.0879373356
chr10	26511524	27666344	-0.7708222145
chr10	36439442	37276137	0.2606438754
chr10	44098026	60262760	-0.0995199546
chr10	67676859	69046599	-0.2286912744
chr10	70602720	71457542	-1.2422306110
chr10	75638354	75674396	0.5231297142
chr10	77159577	80180915	0.0485083915
chr10	80365630	83438790	-0.4518216445
chr10	85579699	86008911	0.3243230746
chr10	87037148	90380759	-0.0477658072
chr10	91958428	94456368	0.4145975127
chr10	95578179	104977051	0.4011586545
chr10	105584528	108165934	0.2925147342
chr10	109044679	109680987	-0.2120357020
chr10	110224035	111342078	0.6229597759
chr10	116608590	118582492	-0.7327619599
chr10	126932640	130147162	0.6305871118
chr11	1894786	5062491	-0.1627712808
chr11	6687798	8442485	-0.5365655280
chr11	12909280	14904703	-0.0067007041
chr11	15989087	20850382	-0.7805030634
chr11	20921456	31312700	-0.0601446210
chr11	33881542	34198381	-0.2391001208
chr11	35957799	37295185	-0.7735613566
chr11	41105933	42377802	-1.1819925710
chr11	49120838	50097291	-0.5041420405
chr11	54021878	59689591	0.1467181398
chr11	63492817	64339597	0.2584845486
chr11	68284915	69950999	-0.5947930931
chr11	69986327	71722733	-0.2060684240
chr11	73786815	76188635	-0.8308164661
chr11	87974166	90246178	0.0332598669
chr11	92392625	96763043	-0.0434254728
chr11	108793659	109508826	1.0901254356
chr11	111393475	111510192	-0.0987694606
chr11	118333009	120437565	0.0764444869
chr11	121468574	123424411	-0.6086729586
chr11	123909626	124154495	-0.2669870161
chr11	129842264	134971040	-0.4508424694
chr12	957193	9860780	-0.8840215835
chr12	11040594	17166331	-0.1632549524
chr12	17898445	19258406	-0.1466752830
chr12	20277899	20576417	0.0247073430
chr12	23784470	25318107	-0.2953573850
chr12	32609046	33167852	-0.4458603576
chr12	34724715	35297409	0.0577684632
chr12	41472160	42828121	0.0643947965
chr12	44784573	45640611	-0.3306608448
chr12	48362616	48710900	0.2401125806
chr12	58981313	64564467	-0.3132745590
chr12	65230381	67001451	0.4158106140
chr12	67811327	68730098	0.0346453317
chr12	70398367	70623797	-0.4566097210
chr12	72806669	76359661	0.1088733057
chr12	82861575	87652106	-0.3904042072
chr12	89156681	93034241	0.4007216018
chr12	94198171	96224576	0.7105366582
chr12	97761580	98473495	0.1508476491
chr12	100583919	118727211	0.0493439541
chr12	119464530	121110514	0.0717373750
chr12	123544807	127908274	0.2711926815
chr13	460275	670573	-0.2204634051
chr13	4243825	4345547	-0.1236233992
chr13	4374576	5031359	-0.1044517156
chr13	5432534	11164816	0.1894951828
chr13	14813887	15588561	-0.1812397385
chr13	22530363	29037999	0.0605367568
chr13	32991835	35848297	-0.1609841210
chr13	49788137	50166594	-0.2448950194
chr13	51612988	52573468	-0.5135330555
chr13	58698535	59342947	-0.3122902056
chr13	60178934	63537243	0.6293877952
chr13	66842751	68232116	-1.6952945217
chr13	69105942	71172489	-0.6459505161
chr13	72447420	78699048	-0.3837024597
chr13	79890733	80538636	0.6143889242
chr13	81093200	81304480	-0.0941874479
chr13	83305012	83761842	0.0923925293
chr13	90505053	93906768	0.1826125486
chr13	100687423	101023885	0.7210677730
chr14	562567	846666	0.3631152568
chr14	4859885	5576960	-0.3113109362
chr14	12024075	12926833	0.2548522659
chr14	15135000	15261476	-0.8962373177
chr14	16216659	27358175	-0.4484536600
chr14	29830839	35745512	-0.1929299109
chr14	36897429	40829668	1.0828885751
chr14	41205548	42955380	-0.9077229798
chr14	42996087	44464370	-0.3382914737
chr14	50533847	53436729	-0.5599191618
chr14	55471832	55897512	0.2064760013
chr14	61790627	66305720	0.1212310117
chr14	72507480	78057018	0.0406525378
chr14	82591320	84465054	-0.0965720764
chr14	84648451	97613623	-0.0263900486
chr14	99450253	99994881	1.1351729327
chr14	100337831	100977865	-0.3801351243
chr14	101558257	106022304	0.0174031454
chr15	1285998	2036467	-0.0320279640
chr15	3902019	13706757	-0.3243779471
chr15	14218739	17171871	-0.5203876412
chr15	20628812	21510031	0.1062847313
chr15	22830202	29047041	-0.0796092226
chr15	29351222	30184054	0.1360775396
chr15	30778019	36405198	-0.5487588718
chr15	38138095	39476312	1.0714307128
chr15	42312335	49630914	0.5824670379
chr15	54287959	60794810	0.7064111117
chr15	65048043	67460152	-0.0079057108
chr15	70962911	72456356	-0.4955965409
chr15	73625989	79348785	0.4677271603
chr15	83865153	87555227	-0.0428421929
chr15	88735562	89477097	-1.0055293426
chr15	90656195	92166142	-0.0360873476
chr15	96149666	98986969	0.4502797565
chr16	205234	7567689	-1.4735270408
chr16	7605064	16157298	0.3026292540
chr16	19342317	21696258	-0.3613114622
chr16	21809693	29725840	-0.8316020116
chr16	34261751	34550540	0.2838759833
chr16	35070136	39375059	0.5735096382
chr16	41291118	44282103	-0.2018762193
chr16	44621839	49377872	0.2026646868
chr16	52147541	55623785	0.5620358479
chr16	57609200	58133623	-0.3177544457
chr16	64683126	65565526	0.2290679685
chr16	65850263	68459386	0.3438126083
chr16	69389010	73481351	-0.6631915032
chr16	74381629	74794669	-0.9003193005
chr16	81819407	86960886	-0.1924338376
chr17	1598698	7662435	-1.1410004907
chr17	12994401	13815944	-0.8718546012
chr17	14066272	19057528	-0.8684859992
chr17	21507571	22546841	-0.0181422865
chr17	29546152	33611560	0.6283248966
chr17	35496291	40581015	-0.4515987950
chr17	43774326	44221491	0.4410835211
chr17	44790546	46014100	0.2759083940
chr17	46863327	47133307	0.1742987202
chr17	50348662	50630701	0.6027706470
chr17	52197883	55412709	-0.7147725328
chr17	63589047	67857487	-0.2166806396
chr17	77335080	80028571	-1.1947110818
chr18	82228	331356	-0.2459606091
chr18	6787849	10458920	-0.1139402643
chr18	15631988	18389569	-0.0209275730
chr18	21419240	22315759	0.3454507148
chr18	23242477	30172543	0.0992486975
chr18	35758378	42766867	0.5884860746
chr18	43099453	45031391	0.2973893013
chr18	45812411	46704232	-0.4341212672
chr18	49542480	54422046	0.0874252079
chr18	56139791	60469437	-0.9408473411
chr18	62407315	67394146	0.2568094183
chr18	68995666	69307088	-0.1749835809
chr18	69554856	74790980	-0.1621058831
chr19	1647780	1940021	0.1347103739
chr19	5662846	5956481	-0.2925871244
chr19	9324937	9912974	-0.5844868223
chr19	11835729	17331868	-0.8463686252
chr19	19502935	21396971	-0.5004145092
chr19	31290390	34038429	0.4356757393
chr19	34701892	34805669	-0.6379457211
chr19	44117470	44678876	0.4302540634
chr19	46382484	46540317	-0.5984683648
chr19	48373896	58062498	0.3732870817
chr20	3096604	4374407	-0.0379465403
chr20	7017324	9888635	-0.5051286580
chr20	11292946	12513025	0.1204001432
chr20	13817554	15692434	0.5106242367
chr20	25372620	25789904	0.4400435335
chr20	27068236	27370427	0.4379120388
chr20	35468125	36632225	-0.2753078843
chr20	37833093	48782336	0.0501858782
chr20	50215070	57953984	0.2634514834
chr20	58283157	62707685	0.1661534384
chr21	7063161	11130907	0.7876674561
chr21	11445691	17480000	0.5244573718
chr21	17935402	24729278	-0.9545087430
chr21	29103842	31026898	0.7763677497
chr21	32378573	35046535	-0.4856028782
chr21	35261468	35956171	0.5542446810
chr21	38330516	41693244	0.4883981408
chr21	44602255	45706857	-0.2232919831
chr22	1848300	3972286	0.1149396476
chr22	4282722	12285726	0.3326560971
chr22	20823646	23168446	-0.4394628065
chr22	29027966	30626276	-0.6698418663
chr22	31578271	32281468	0.2317397466
chr22	33078757	34749725	-0.9791827181
chr22	38266193	39201155	0.0088057085
chr22	42240923	45496740	0.5092180013
chr22	45898814	48582444	-0.1416072069
chrX	7903530	8156732	-0.7069973885
chrX	11882412	12788418	-0.8262599769
chrX	18574893	26444414	0.2788488737
chrX	27670989	29802071	-0.0974719676
chrX	36653397	43993509	0.1523099312
chrX	45034201	52671050	-0.4696895798
chrX	56242059	57285744	0.0853247072
chrX	60613797	64616439	0.0306127539
chrX	65603689	70011794	0.5630164730
chrX	70168644	72019253	0.6327852040
chrX	75096064	79445201	0.6000993268
chrX	80083939	81986866	0.0614948060
chrX	85632014	90433054	-0.2816878838
chrX	91872952	93591782	0.2319085918
chrX	96927385	100805738	0.0532852433
chrX	105770322	112965783	-0.5851103664
chrX	115176614	117796375	-0.0303677813
chrX	120523951	121202979	-0.8626762276
chrX	125273151	127271233	0.0585438019
chrX	128663180	133296167	-0.0672803683
chrX	136035661	140178901	1.9318976904
chrX	140895634	143789303	0.1030774402
chrX	144622844	145624609	-0.3388610785
chrX	146417042	151340875	-0.1247448091
chrX	154155903	154565065	0.2549871557
chrY	1013737	1838309	0.0723659888
chrY	9703477	16315008	0.3195311925
chrY	17790533	20224283	-0.0592984420
chrY	21862657	22791842	-0.2181830113
chrY	22975310	26137499	0.3363520214
chrY	29260514	30743347	0.6206900450
chrY	36550988	37263996	-0.1266059050
